exp_name	q	stim	selected_m	selected_alpha	xrmse	auc	cc	tau
16_pop_stim_full_inh_pto_6	723.3125	6	10	1.0	0.1521854436611661	0.8666666666666667	0.5224782546513418	1.5188471339654896
16_pop_stim_full_inh_pto_6	723.3125	8	10	0.9	0.1369503734727067	1.0	0.6346294832180599	1.2274564969979815
32_pop_stim_full_inb_2_new	306.125	5	2	1.0	0.0516264725706483	0.7083333333333334	0.230834121116904	14.9712581163158
32_pop_stim_full_inb_2_new	306.125	6	2	1.0	0.0733599990122279	0.9516129032258064	0.1781736030800791	10.191851138915624
32_pop_stim_full_inb_2_new	306.125	20	2	1.0	0.0492024060217214	0.7854166666666667	0.406406141165086	15.608569774174873
32_pop_stim_full_inb_2_new	306.125	23	2	1.0	0.0769412463799816	0.8103448275862069	0.2116309293195717	-5.125348189415043
32_pop_stim_full_inb_2_new	306.125	24	2	1.0	0.0823474555375699	1.0	0.4520739182561148	5.815719175503681
60_pop_stim_4	96.96666666666667	0	50	0.5	0.0946320454796229	1.0	0.9232034222127248	4.386372313427808
60_pop_stim_4	96.96666666666667	6	50	0.8	0.1021181731283803	1.0	0.981612675249434	5.7286616418822565
60_pop_stim_4	96.96666666666667	23	50	0.8	0.053255111881106	1.0	0.9757137587093658	5.752419981629337
60_pop_stim_4	96.96666666666667	28	50	0.8	0.1107337319313249	1.0	0.8879681655907914	4.740228843321626
60_pop_stim_4	96.96666666666667	37	50	0.2	0.3125506748643613	1.0	0.92892896534157	4.074438605997822
60_pop_stim_4	96.96666666666667	39	50	0.8	0.0742536139814301	1.0	0.9252649604875004	7.721100653782599
60_pop_stim_4	96.96666666666667	47	50	0.5	0.1116459284950689	1.0	0.8932420737963065	5.798717860343283
60_pop_stim_4	96.96666666666667	52	50	0.8	0.1245285887753916	1.0	0.9550128056289516	3.941303774082872
60_pop_stim_4	96.96666666666667	54	50	0.8	0.0810490459203661	1.0	0.9418912131008704	3.368343283880114
60_pop_stim_4	96.96666666666667	55	50	0.8	0.0580103170654329	1.0	0.9291076114385792	5.734103251529525
